raw_feature,importance,perm_importance_mean,perm_importance_std,builtin_rank,perm_rank,rank_sum
src_port,18319,0.23420899897991482,0.0023840493232680096,1.0,1.0,2.0
src_ip_bytes,4783,0.17827097668600073,0.0015857123709501753,3.0,2.0,5.0
duration,14127,0.10264465425446716,0.0024240159738621605,2.0,5.0,7.0
dst_port,3597,0.1527719403215913,0.002159676186401533,4.0,3.0,7.0
conn_state,3417,0.12414203007499647,0.0021693941825761697,5.0,4.0,9.0
dst_ip_bytes,2876,0.01591554184491404,0.0007971063072533102,6.0,8.0,14.0
src_bytes,2786,0.03471856539906555,0.000659037475472366,8.0,6.0,14.0
dst_bytes,2861,0.015010387551176984,0.0007131641646311609,7.0,9.0,16.0
dns_query,2617,0.007687605693548494,0.0002087133785490839,9.0,10.0,19.0
src_pkts,1709,0.0030745999039634374,0.0006457844523409036,10.0,12.0,22.0
service,731,0.0061281550954807255,0.0006113817690503294,12.0,11.0,23.0
proto,377,0.017618185187215963,0.000919347231396487,16.0,7.0,23.0
dst_pkts,1272,0.0002678856301038035,7.561451117367979e-05,11.0,15.0,26.0
dns_rcode,446,0.0002847915616083441,5.6559470042311285e-05,13.0,14.0,27.0
dns_RA,427,0.001164729085030336,0.00023409276406564304,14.0,13.0,27.0
missed_bytes,289,0.0,0.0,18.0,18.0,36.0
dns_RD,238,2.2440361441677937e-05,3.1347628752305256e-05,19.0,17.0,36.0
ssl_cipher,102,0.0,0.0,20.0,18.0,38.0
http_status_code,69,0.000141846236899279,0.0,22.0,16.0,38.0
dns_qclass,50,0.0,0.0,23.0,18.0,41.0
weird_name,48,0.0,0.0,24.0,18.0,42.0
http_resp_mime_types,40,0.0,0.0,25.0,18.0,43.0
http_response_body_len,34,0.0,0.0,26.0,18.0,44.0
ssl_version,29,0.0,0.0,27.0,18.0,45.0
http_version,26,0.0,0.0,28.0,18.0,46.0
http_trans_depth,21,0.0,0.0,29.0,18.0,47.0
weird_notice,16,0.0,0.0,30.0,18.0,48.0
http_user_agent,9,0.0,0.0,31.0,18.0,49.0
ssl_resumed,6,0.0,0.0,32.0,18.0,50.0
http_uri,4,0.0,0.0,33.0,18.0,51.0
http_method,1,0.0,0.0,34.0,18.0,52.0
ssl_established,1,0.0,0.0,34.0,18.0,52.0
http_orig_mime_types,0,0.0,0.0,36.0,18.0,54.0
http_request_body_len,0,0.0,0.0,36.0,18.0,54.0
ssl_issuer,0,0.0,0.0,36.0,18.0,54.0
ssl_subject,0,0.0,0.0,36.0,18.0,54.0
weird_addl,0,0.0,0.0,36.0,18.0,54.0
dns_qtype,380,-0.00018140258454655279,0.00013401742342848967,15.0,40.0,55.0
dns_rejected,343,-3.124997336378943e-05,9.52128485683175e-05,17.0,38.0,55.0
dns_AA,82,-0.00013954673500220504,5.2874876804536815e-05,21.0,39.0,60.0
