raw_feature,perm_importance_mean,perm_importance_std
src_port,0.23420899897991482,0.0023840493232680096
src_ip_bytes,0.17827097668600073,0.0015857123709501753
dst_port,0.1527719403215913,0.002159676186401533
conn_state,0.12414203007499647,0.0021693941825761697
duration,0.10264465425446716,0.0024240159738621605
src_bytes,0.03471856539906555,0.000659037475472366
proto,0.017618185187215963,0.000919347231396487
dst_ip_bytes,0.01591554184491404,0.0007971063072533102
dst_bytes,0.015010387551176984,0.0007131641646311609
dns_query,0.007687605693548494,0.0002087133785490839
service,0.0061281550954807255,0.0006113817690503294
src_pkts,0.0030745999039634374,0.0006457844523409036
dns_RA,0.001164729085030336,0.00023409276406564304
dns_rcode,0.0002847915616083441,5.6559470042311285e-05
dst_pkts,0.0002678856301038035,7.561451117367979e-05
http_status_code,0.000141846236899279,0.0
dns_RD,2.2440361441677937e-05,3.1347628752305256e-05
ssl_resumed,0.0,0.0
missed_bytes,0.0,0.0
dns_qclass,0.0,0.0
ssl_cipher,0.0,0.0
ssl_issuer,0.0,0.0
ssl_established,0.0,0.0
ssl_version,0.0,0.0
http_request_body_len,0.0,0.0
http_response_body_len,0.0,0.0
http_user_agent,0.0,0.0
ssl_subject,0.0,0.0
http_method,0.0,0.0
http_uri,0.0,0.0
http_version,0.0,0.0
http_trans_depth,0.0,0.0
http_resp_mime_types,0.0,0.0
weird_name,0.0,0.0
weird_addl,0.0,0.0
http_orig_mime_types,0.0,0.0
weird_notice,0.0,0.0
dns_rejected,-3.124997336378943e-05,9.52128485683175e-05
dns_AA,-0.00013954673500220504,5.2874876804536815e-05
dns_qtype,-0.00018140258454655279,0.00013401742342848967
